best_subset_tau,worst_subset_tau
0.8708940317152922,0.852017510830823
0.9201305973640554,0.8840470445262494
0.932634433286945,0.8755872853750466
0.9382605430598818,0.8898787839334054
0.958497677882895,0.9355654538401941
0.9394971874112142,0.9171691006902897
0.912027045868302,0.8671591117290854
0.9023843717050701,0.8748569170868029
0.9054483264745847,0.8746391206588143
0.9358418392117114,0.8927551983640267
0.9182719497896177,0.8924536194300221
0.8947701481224495,0.9189298049666429
0.9132575396806639,0.8874835733679451
0.9221751890106875,0.8554419604657515
0.9297910675985848,0.92289734327904
0.9201305973640554,0.872019193580314
0.9329444879429627,0.8813530876880523
0.9076366155751464,0.8302812222022645
0.9259879065267292,0.8722823403857963
0.9252348515753998,0.895617448834719
0.9490418365599013,0.8984810453165594
0.925693045924085,0.9102218529559944
0.9163648077073127,0.8438839754592766
0.9055406407154706,0.870845597009897
0.9433337817510868,0.8952220406053119
0.8877932604303183,0.853382668940771
0.9529499575055862,0.907983171851965
0.9473338525127024,0.8873760137460756
0.8832584284416584,0.8746412730422275
0.9107564395612189,0.8459347652663968
0.9225148407047334,0.8949513720749002
0.9106744295694194,0.8745911031147819
0.9473657137094557,0.9007314853226639
0.9364060696119078,0.9071702510932623
0.956063258876865,0.8970572010752356
0.9221082047480073,0.8291225034288805
0.9135626678966458,0.82237844680715
0.9086693117872267,0.8362516436751517
0.8760326861324623,0.7502698816336034
0.9325570158169703,0.9013851935612498
0.9408513551832005,0.9236981855353756
0.9394840231563523,0.8776532647767751
0.9258075470155669,0.917227310249899
0.9492941614613521,0.933660771794102
0.9368054750766944,0.8731474354479749
0.9448626962043521,0.8689978081879444
0.9205359816013882,0.9119408743968934
0.9381258236424163,0.8676159083915655
0.9204444959034002,0.8739921568578081
0.9515066706190476,0.9051336018343649
0.9365302907390123,0.8729108596982137
0.9392209346232506,0.8553160562339357
0.8896076498271545,0.849916134897912
0.9207921239153688,0.8570516027088794
0.8973817325947318,0.817997963942121
0.9207921239153688,0.850160735551421
0.9219050539723982,0.8498007480751156
0.9195580702350519,0.8693373846666592
0.8912066192304778,0.8550766211535666
0.9090343085640232,0.8678316203571553
0.9465746688158573,0.917236894212631
0.9187342368128865,0.8860451909337763
0.8902579316873043,0.8454867397649254
0.9132575396806639,0.8995114243138805
